"","id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"11","0803.2262v7","2008-03-15 00:02:43","2010-03-30 09:49:46","Constant-Rank Codes and Their Connection to Constant-Dimension Codes","  Constant-dimension codes have recently received attention due to their
significance to error control in noncoherent random linear network coding. What
the maximal cardinality of any constant-dimension code with finite dimension
and minimum distance is and how to construct the optimal constant-dimension
code (or codes) that achieves the maximal cardinality both remain open research
problems. In this paper, we introduce a new approach to solving these two
problems. We first establish a connection between constant-rank codes and
constant-dimension codes. Via this connection, we show that optimal
constant-dimension codes correspond to optimal constant-rank codes over
matrices with sufficiently many rows. As such, the two aforementioned problems
are equivalent to determining the maximum cardinality of constant-rank codes
and to constructing optimal constant-rank codes, respectively. To this end, we
then derive bounds on the maximum cardinality of a constant-rank code with a
given minimum rank distance, propose explicit constructions of optimal or
asymptotically optimal constant-rank codes, and establish asymptotic bounds on
the maximum rate of a constant-rank code.
","Maximilien Gadouleau|Zhiyuan Yan","","http://arxiv.org/abs/0803.2262v7","http://arxiv.org/pdf/0803.2262v7","","10 pages, 3 figures, accepted to appear in IEEE Transactions on
  Information Theory","","","cs.IT","cs.IT|math.IT"
"12","0806.0128v1","2008-06-01 07:27:05","2008-06-01 07:27:05","QoS Challenges and Opportunities in Wireless Sensor/Actuator Networks","  A wireless sensor/actuator network (WSAN) is a group of sensors and actuators
that are geographically distributed and interconnected by wireless networks.
Sensors gather information about the state of physical world. Actuators react
to this information by performing appropriate actions. WSANs thus enable cyber
systems to monitor and manipulate the behavior of the physical world. WSANs are
growing at a tremendous pace, just like the exploding evolution of Internet.
Supporting quality of service (QoS) will be of critical importance for
pervasive WSANs that serve as the network infrastructure of diverse
applications. To spark new research and development interests in this field,
this paper examines and discusses the requirements, critical challenges, and
open research issues on QoS management in WSANs. A brief overview of recent
progress is given.
","Feng Xia","","http://arxiv.org/abs/0806.0128v1","http://arxiv.org/pdf/0806.0128v1","","12 pages, 1 figure; review","Sensors 2008, 8(2), 1099-1110","","cs.NI","cs.NI|C.2.1"
"13","0806.1385v1","2008-06-09 07:48:42","2008-06-09 07:48:42","Control-Scheduling Codesign: A Perspective on Integrating Control and
  Computing","  Despite rapid evolution, embedded computing systems increasingly feature
resource constraints and workload uncertainties. To achieve much better system
performance in unpredictable environments than traditional design approaches, a
novel methodology, control-scheduling codesign, is emerging in the context of
integrating feedback control and real-time computing. The aim of this work is
to provide a better understanding of this emerging methodology and to spark new
interests and developments in both the control and computer science
communities. The state of the art of control-scheduling codesign is captured.
Relevant research efforts in the literature are discussed under two categories,
i.e., control of computing systems and codesign for control systems. Critical
open research issues on integrating control and computing are also outlined.
","Feng Xia|Youxian Sun","","http://arxiv.org/abs/0806.1385v1","http://arxiv.org/pdf/0806.1385v1","","7 pages, 2 figures; A review paper","Dynamics of Continuous, Discrete and Impulsive Systems - Series B,
  vol. 13, no. S1, pp. 1352-1358, 2006","","cs.OH","cs.OH|C.3; D.4.1"
"14","0812.0706v1","2008-12-03 12:47:08","2008-12-03 12:47:08","Which notes are Vadi-Samvadi in Raga Rageshree?","  The notes which play the most important and second most important roles in
expressing a raga are called Vadi and Samvadi swars respectively in (North)
Indian Classical music. Like Bageshree, Bhairavi, Shankara, Hamir and Kalingra,
Rageshree is another controversial raga so far as the choice of Vadi-Samvadi
selection is concerned where there are two different opinions. In the present
work, a two minute vocal recording of raga Rageshree is subjected to a careful
statistical analysis. Our analysis is broken into three phases: first half,
middle half and last half. Under a multinomial model set up holding appreciably
in the first two phases, only one opinion is found acceptable. In the last
phase the distribution seems to be quasi multinomial, characterized by an
unstable nature of relative occurrence of pitch of all the notes and although
the note whose relative occurrence of pitch suddenly shoots is the Vadi swar
selected from our analysis of the first two phases, we take it as an outlier
demanding a separate treatment like any other in statistics. Selection of
Vadi-Samvadi notes in a quasi-multinomial set up is still an open research
problem. An interesting musical cocktail is proposed, however, embedding
several ideas like melodic property of notes, note combinations and pitch
movements between notes, using some weighted combination of psychological and
statistical stability of notes along with watching carefully the sudden shoot
of one or more notes whenever there is enough evidence that multinomial model
has broken down.
","Soubhik Chakraborty|Rayalla Ranganayakulu|Shivee Chauhan|Sandeep Singh Solanki|Kartik Mahto","","http://arxiv.org/abs/0812.0706v1","http://arxiv.org/pdf/0812.0706v1","","20 pages;04 figures","","","cs.SD","cs.SD"
"15","0903.4637v1","2009-03-26 17:04:01","2009-03-26 17:04:01","Tarski's plank problem revisited","  In the 1930's, Tarski introduced his plank problem at a time when the field
Discrete Geometry was about to born. It is quite remarkable that Tarski's
question and its variants continue to generate interest in the geometric and
analytic aspects of coverings by planks in the present time as well. The paper
is a survey type with a list of open research problems.
","Karoly Bezdek","","http://arxiv.org/abs/0903.4637v1","http://arxiv.org/pdf/0903.4637v1","","","Bolyai Society Mathematical Studies 24. Berlin: Springer (2013)
  45-64","","math.MG","math.MG|52A10; 52A38; 52A40"
"16","0904.1616v1","2009-04-09 22:30:03","2009-04-09 22:30:03","Mathematical and Statistical Opportunities in Cyber Security","  The role of mathematics in a complex system such as the Internet has yet to
be deeply explored. In this paper, we summarize some of the important and
pressing problems in cyber security from the viewpoint of open science
environments. We start by posing the question ""What fundamental problems exist
within cyber security research that can be helped by advanced mathematics and
statistics?"" Our first and most important assumption is that access to
real-world data is necessary to understand large and complex systems like the
Internet. Our second assumption is that many proposed cyber security solutions
could critically damage both the openness and the productivity of scientific
research. After examining a range of cyber security problems, we come to the
conclusion that the field of cyber security poses a rich set of new and
exciting research opportunities for the mathematical and statistical sciences.
","Juan Meza|Scott Campbell|David Bailey","","http://arxiv.org/abs/0904.1616v1","http://arxiv.org/pdf/0904.1616v1","","","","","cs.CR","cs.CR"
"17","0904.3950v1","2009-04-24 22:35:02","2009-04-24 22:35:02","New Science on the Open Science Grid","  The Open Science Grid (OSG) includes work to enable new science, new
scientists, and new modalities in support of computationally based research.
There are frequently significant sociological and organizational changes
required in transformation from the existing to the new. OSG leverages its
deliverables to the large scale physics experiment member communities to
benefit new communities at all scales through activities in education,
engagement and the distributed facility. As a partner to the poster and
tutorial at SciDAC 2008, this paper gives both a brief general description and
some specific examples of new science enabled on the OSG. More information is
available at the OSG web site: (http://www.opensciencegrid.org).
","The Open Science Grid Executive Board| :|Ruth Pordes|Mine Altunay|Paul Avery|Alina Bejan|Kent Blackburn|Alan Blatecky|Rob Gardner|Bill Kramer|Miron Livny|John McGee|Maxim Potekhin|Rob Quick|Doug Olson|Alain Roy|Chander Sehgal|Torre Wenaus|Mike Wilde|Frank Wuerthwein","on behalf of the OSG Consortium|Fermi National Accelerator Laboratory|Fermi National Accelerator Laboratory|Fermi National Accelerator Laboratory|University of Florida|University of Chicago|California Institute of Technology|Renaissance Computing Institute|University of Chicago|Lawrence Berkeley National Laboratory|University of Wisconsin, Madison|Renaissance Computing Institute|Indiana University|Indiana University|Lawrence Berkeley National Laboratory|Lawrence Berkeley National Laboratory|Fermi National Accelerator Laboratory|Indiana University|University of Chicago|University of California, San Diego","http://arxiv.org/abs/0904.3950v1","http://arxiv.org/pdf/0904.3950v1","http://dx.doi.org/10.1088/1742-6596/125/1/012070","","J.Phys.Conf.Ser.125:012070,2008","10.1088/1742-6596/125/1/012070","physics.comp-ph","physics.comp-ph"
"18","0904.4868v1","2009-04-30 15:54:25","2009-04-30 15:54:25","Deconvolution of Poissonian Images Using Variable Splitting and
  Augmented Lagrangian Optimization","  Although much research has been devoted to the problem of restoring
Poissonian images, namely in the fields of medical and astronomical imaging,
applying the state of the art regularizers (such as those based on wavelets or
total variation) to this class of images is still an open research front. This
paper proposes a new image deconvolution approach for images with Poisson
statistical models, with the following building blocks: (a) a standard
regularization/MAP criterion, combining the Poisson log-likelihood with a
regularizer (log-prior) is adopted; (b) the resulting optimization problem
(which is difficult, since it involves a non-quadratic and non-separable term
plus a non-smooth term) is transformed into an equivalent constrained problem,
via a variable splitting procedure; (c) this constrained problem is addressed
using an augmented Lagrangian framework. The effectiveness of the resulting
algorithm is illustrated in comparison with current state-of-the-art methods.
","Mario A. T. Figueiredo|Jose M. Bioucas-Dias","","http://arxiv.org/abs/0904.4868v1","http://arxiv.org/pdf/0904.4868v1","","Submitted to the 2009 IEEE Workshop on Statistical Signal Processing","","","math.OC","math.OC|math.ST|stat.TH|65K10"
"19","0905.0454v1","2009-05-04 18:53:45","2009-05-04 18:53:45","Tensor Decompositions, State of the Art and Applications","  In this paper, we present a partial survey of the tools borrowed from tensor
algebra, which have been utilized recently in Statistics and Signal Processing.
It is shown why the decompositions well known in linear algebra can hardly be
extended to tensors. The concept of rank is itself difficult to define, and its
calculation raises difficulties. Numerical algorithms have nevertheless been
developed, and some are reported here, but their limitations are emphasized.
These reports hopefully open research perspectives for enterprising readers.
","Pierre Comon","","http://arxiv.org/abs/0905.0454v1","http://arxiv.org/pdf/0905.0454v1","","","Mathematics in Signal Processing V, J. G. McWhirter and I. K.
  Proudler (Ed.) (2002) 1-24","","stat.AP","stat.AP"
"20","0906.0910v1","2009-06-04 13:28:51","2009-06-04 13:28:51","On the Challenges of Collaborative Data Processing","  The last 30 years have seen the creation of a variety of electronic
collaboration tools for science and business. Some of the best-known
collaboration tools support text editing (e.g., wikis). Wikipedia's success
shows that large-scale collaboration can produce highly valuable content.
Meanwhile much structured data is being collected and made publicly available.
We have never had access to more powerful databases and statistical packages.
Is large-scale collaborative data analysis now possible? Using a quantitative
analysis of Web 2.0 data visualization sites, we find evidence that at least
moderate open collaboration occurs. We then explore some of the limiting
factors of collaboration over data.
","Sylvie Noel|Daniel Lemire","","http://arxiv.org/abs/0906.0910v1","http://arxiv.org/pdf/0906.0910v1","","to appear as a chapter in an upcoming book (Collaborative Information
  Behavior)","","","cs.DB","cs.DB|cs.HC"
"21","0910.2140v1","2009-10-12 11:58:21","2009-10-12 11:58:21","A critical look at power law modelling of the Internet","  This paper takes a critical look at the usefulness of power law models of the
Internet. The twin focuses of the paper are Internet traffic and topology
generation. The aim of the paper is twofold. Firstly it summarises the state of
the art in power law modelling particularly giving attention to existing open
research questions. Secondly it provides insight into the failings of such
models and where progress needs to be made for power law research to feed
through to actual improvements in network performance.
","Richard G. Clegg|Carla Di Cairano-Gilfedder|Shi Zhou","","http://arxiv.org/abs/0910.2140v1","http://arxiv.org/pdf/0910.2140v1","http://dx.doi.org/10.1016/j.comcom.2009.09.009","To appear Computer Communications","","10.1016/j.comcom.2009.09.009","cs.NI","cs.NI"
"22","0912.5121v2","2009-12-28 02:55:32","2010-05-06 10:40:33","Control of quantum phenomena: Past, present, and future","  Quantum control is concerned with active manipulation of physical and
chemical processes on the atomic and molecular scale. This work presents a
perspective of progress in the field of control over quantum phenomena, tracing
the evolution of theoretical concepts and experimental methods from early
developments to the most recent advances. The current experimental successes
would be impossible without the development of intense femtosecond laser
sources and pulse shapers. The two most critical theoretical insights were (1)
realizing that ultrafast atomic and molecular dynamics can be controlled via
manipulation of quantum interferences and (2) understanding that optimally
shaped ultrafast laser pulses are the most effective means for producing the
desired quantum interference patterns in the controlled system. Finally, these
theoretical and experimental advances were brought together by the crucial
concept of adaptive feedback control, which is a laboratory procedure employing
measurement-driven, closed-loop optimization to identify the best shapes of
femtosecond laser control pulses for steering quantum dynamics towards the
desired objective. Optimization in adaptive feedback control experiments is
guided by a learning algorithm, with stochastic methods proving to be
especially effective. Adaptive feedback control of quantum phenomena has found
numerous applications in many areas of the physical and chemical sciences, and
this paper reviews the extensive experiments. Other subjects discussed include
quantum optimal control theory, quantum control landscapes, the role of
theoretical control designs in experimental realizations, and real-time quantum
feedback control. The paper concludes with a prospective of open research
directions that are likely to attract significant attention in the future.
","Constantin Brif|Raj Chakrabarti|Herschel Rabitz","","http://arxiv.org/abs/0912.5121v2","http://arxiv.org/pdf/0912.5121v2","http://dx.doi.org/10.1088/1367-2630/12/7/075008","Review article, final version (significantly updated), 76 pages,
  accepted for publication in New J. Phys. (Focus issue: Quantum control)","New J. Phys. 12, 075008 (2010)","10.1088/1367-2630/12/7/075008","quant-ph","quant-ph|physics.atom-ph|physics.chem-ph"
"23","1001.3718v1","2010-01-21 04:47:58","2010-01-21 04:47:58","Severity Prediction of Drought in A Large Geographical Area Using
  Distributed Wireless Sensor Networks","  In this paper, the severity prediction of drought through the implementation
of modern sensor networks is discussed. We describe how to design a drought
prediction system using wireless sensor networks. This paper will describe a
terrestrial interconnected wireless sensor network paradigm for the prediction
of severity of drought over a vast area of 10,000 sq km. The communication
architecture for sensor network is outlined and the protocols developed for
each layer is explored. The data integration model and sensor data analysis at
the central computer is explained. The advantages and limitations are discussed
along with the use of wireless standards. They are analyzed for its relevance.
Finally a conclusion is presented along with open research issues.
","Satish. G. Dappin|M. Vaidehi|G. Nithya Nair|T. R. Gopalakrsihnan Nair","","http://arxiv.org/abs/1001.3718v1","http://arxiv.org/pdf/1001.3718v1","","7 pages, 8 figures","IEEE International Advance Computing Conference, PP 3042-3047,
  2009","","cs.DC","cs.DC"
"24","1010.2770v1","2010-10-13 20:48:30","2010-10-13 20:48:30","Online Multiple Kernel Learning for Structured Prediction","  Despite the recent progress towards efficient multiple kernel learning (MKL),
the structured output case remains an open research front. Current approaches
involve repeatedly solving a batch learning problem, which makes them
inadequate for large scale scenarios. We propose a new family of online
proximal algorithms for MKL (as well as for group-lasso and variants thereof),
which overcomes that drawback. We show regret, convergence, and generalization
bounds for the proposed method. Experiments on handwriting recognition and
dependency parsing testify for the successfulness of the approach.
","Andre F. T. Martins|Mario A. T. Figueiredo|Pedro M. Q. Aguiar|Noah A. Smith|Eric P. Xing","","http://arxiv.org/abs/1010.2770v1","http://arxiv.org/pdf/1010.2770v1","","","","","stat.ML","stat.ML"
"25","1010.2826v1","2010-10-14 05:16:24","2010-10-14 05:16:24","Tau Be or not Tau Be? - A Perspective on Service Compatibility and
  Substitutability","  One of the main open research issues in Service Oriented Computing is to
propose automated techniques to analyse service interfaces. A first problem,
called compatibility, aims at determining whether a set of services (two in
this paper) can be composed together and interact with each other as expected.
Another related problem is to check the substitutability of one service with
another. These problems are especially difficult when behavioural descriptions
(i.e., message calls and their ordering) are taken into account in service
interfaces. Interfaces should capture as faithfully as possible the service
behaviour to make their automated analysis possible while not exhibiting
implementation details. In this position paper, we choose Labelled Transition
Systems to specify the behavioural part of service interfaces. In particular,
we show that internal behaviours (tau transitions) are necessary in these
transition systems in order to detect subtle errors that may occur when
composing a set of services together. We also show that tau transitions should
be handled differently in the compatibility and substitutability problem: the
former problem requires to check if the compatibility is preserved every time a
tau transition is traversed in one interface, whereas the latter requires a
precise analysis of tau branchings in order to make the substitution preserve
the properties (e.g., a compatibility notion) which were ensured before
replacement.
","Meriem Ouederni|Gwen Salaün","University of Malaga, Spain|Grenoble INP, INRIA-Grenoble, LIG","http://arxiv.org/abs/1010.2826v1","http://arxiv.org/pdf/1010.2826v1","http://dx.doi.org/10.4204/EPTCS.37.5","In Proceedings WCSI 2010, arXiv:1010.2337","EPTCS 37, 2010, pp. 57-70","10.4204/EPTCS.37.5","cs.SE","cs.SE|cs.LO"
"26","1011.4874v3","2010-11-22 17:02:45","2011-05-13 16:24:18","Comparing, Optimising and Benchmarking Quantum Control Algorithms in a
  Unifying Programming Framework","  For paving the way to novel applications in quantum simulation, computation,
and technology, increasingly large quantum systems have to be steered with high
precision. It is a typical task amenable to numerical optimal control to turn
the time course of pulses, i.e. piecewise constant control amplitudes,
iteratively into an optimised shape. Here, we present the first comparative
study of optimal control algorithms for a wide range of finite-dimensional
applications. We focus on the most commonly used algorithms: GRAPE methods
which update all controls concurrently, and KROTOV-type methods which do so
sequentially. Guidelines for their use are given and open research questions
are pointed out. --- Moreover we introduce a novel unifying algorithmic
framework, DYNAMO (dynamic optimisation platform) designed to provide the
quantum-technology community with a convenient MATLAB-based toolset for optimal
control. In addition, it gives researchers in optimal-control techniques a
framework for benchmarking and comparing new proposed algorithms to the
state-of-the-art. It allows for a mix-and-match approach with various types of
gradients, update and step-size methods as well as subspace choices.
Open-source code including examples is made available at http://qlib.info.
","S. Machnes|U. Sander|S. J. Glaser|P. de Fouquieres|A. Gruslys|S. Schirmer|T. Schulte-Herbrueggen","","http://arxiv.org/abs/1011.4874v3","http://arxiv.org/pdf/1011.4874v3","http://dx.doi.org/10.1103/PhysRevA.84.022305","update incl. 3 new figures, comments welcome","Phys. Rev. A 84 (2011) 022305","10.1103/PhysRevA.84.022305","quant-ph","quant-ph|math.OC"
