"","id","title","abstract","authors","link_pdf","link_doi"
"11","1410.4839v2","The LIGO Open Science Center","  The LIGO Open Science Center (LOSC) fulfills LIGO's commitment to release,
archive, and serve LIGO data in a broadly accessible way to the scientific
community and to the public, and to provide the information and tools necessary
to understand and use the data. In August 2014, the LOSC published the full
dataset from Initial LIGO's ""S5"" run at design sensitivity, the first such
large-scale release and a valuable testbed to explore the use of LIGO data by
non-LIGO researchers and by the public, and to help teach gravitational-wave
data analysis to students across the world. In addition to serving the S5 data,
the LOSC web portal (losc.ligo.org) now offers documentation, data-location and
data-quality queries, tutorials and example code, and more. We review the
mission and plans of the LOSC, focusing on the S5 data release.
","Michele Vallisneri|Jonah Kanner|Roy Williams|Alan Weinstein|Branson Stephens","http://arxiv.org/pdf/1410.4839v2","http://dx.doi.org/10.1088/1742-6596/610/1/012021"
"12","1506.05632v1","An Open Science Platform for the Next Generation of Data","  Imagine an online work environment where researchers have direct and
immediate access to myriad data sources and tools and data management
resources, useful throughout the research lifecycle. This is our vision for the
next generation of the Dataverse Network: an Open Science Platform (OSP). For
the first time, researchers would be able to seamlessly access and create
primary and derived data from a variety of sources: prior research results,
public data sets, harvested online data, physical instruments, private data
collections, and even data from other standalone repositories. Researchers
could recruit research participants and conduct research directly on the OSP,
if desired, using readily available tools. Researchers could create private or
shared workspaces to house data, access tools, and computation and could
publish data directly on the platform or publish elsewhere with persistent,
data citations on the OSP. This manuscript describes the details of an Open
Science Platform and its construction. Having an Open Science Platform will
especially impact the rate of new scientific discoveries and make scientific
findings more credible and accountable.
","Latanya Sweeney|Merce Crosas","http://arxiv.org/pdf/1506.05632v1",""
"13","1601.00323v1","The Design of a Community Science Cloud: The Open Science Data Cloud
  Perspective","  In this paper we describe the design, and implementation of the Open Science
Data Cloud, or OSDC. The goal of the OSDC is to provide petabyte-scale data
cloud infrastructure and related services for scientists working with large
quantities of data. Currently, the OSDC consists of more than 2000 cores and 2
PB of storage distributed across four data centers connected by 10G networks.
We discuss some of the lessons learned during the past three years of operation
and describe the software stacks used in the OSDC. We also describe some of the
research projects in biology, the earth sciences, and social sciences enabled
by the OSDC.
","Robert L. Grossman|Matthew Greenway|Allison P. Heath|Ray Powell|Rafael D. Suarez|Walt Wells|Kevin White|Malcolm Atkinson|Iraklis Klampanos|Heidi L. Alvarez|Christine Harvey|Joe J. Mambretti","http://arxiv.org/pdf/1601.00323v1",""
"14","1610.00652v1","Open research areas in distance geometry","  Distance Geometry is based on the inverse problem that asks to find the
positions of points, in a Euclidean space of given dimension, that are
compatible with a given set of distances. We briefly introduce the field, and
discuss some open and promising research areas.
","Leo Liberti|Carlile Lavor","http://arxiv.org/pdf/1610.00652v1",""
"15","1701.03507v1","Beyond NGS data sharing and towards open science","  Biosciences have been revolutionized by next generation sequencing (NGS)
technologies in last years, leading to new perspectives in medical, industrial
and environmental applications. And although our motivation comes from
biosciences, the following is true for many areas of science: published results
are usually hard to reproduce either because data is not available or tools are
not readily available, which delays the adoption of new methodologies and
hinders innovation. Our focus is on tool readiness and pipelines availability.
Even though most tools are freely available, pipelines for data analysis are in
general barely described and their configuration is far from trivial, with many
parameters to be tuned.
  In this paper we discuss how to effectively build and use pipelines, relying
on state of the art computing technologies to execute them without users need
to configure, install and manage tools, servers and complex workflow management
systems. We perform an in depth comparative analysis of state of the art
frameworks and systems. The NGSPipes framework is proposed showing that we can
have public pipelines ready to process and analyse experimental data, produced
for instance by high-throughput technologies, but without relying on
centralized servers or Web services.
  The NGSPipes framework and underlying architecture provides a major step
towards open science and true collaboration in what concerns tools and
pipelines among computational biology researchers and practitioners. We show
that it is possible to execute data analysis pipelines in a decentralized and
platform independent way. Approaches like the one proposed are crucial for
archiving and reusing data analysis pipelines at medium/long-term. NGSPipes
framework is freely available at http://ngspipes.github.io/.
","Bruno Dantas|Calmenelias Fleitas|Alexandre P. Francisco|José Simão|Cátia Vaz","http://arxiv.org/pdf/1701.03507v1",""
"16","1702.01251v1","Cyber-Physical Attacks on UAS Networks- Challenges and Open Research
  Problems","  Assignment of critical missions to unmanned aerial vehicles (UAV) is bound to
widen the grounds for adversarial intentions in the cyber domain, potentially
ranging from disruption of command and control links to capture and use of
airborne nodes for kinetic attacks. Ensuring the security of electronic and
communications in multi-UAV systems is of paramount importance for their safe
and reliable integration with military and civilian airspaces. Over the past
decade, this active field of research has produced many notable studies and
novel proposals for attacks and mitigation techniques in UAV networks. Yet, the
generic modeling of such networks as typical MANETs and isolated systems has
left various vulnerabilities out of the investigative focus of the research
community. This paper aims to emphasize on some of the critical challenges in
securing UAV networks against attacks targeting vulnerabilities specific to
such systems and their cyber-physical aspects.
","Vahid Behzadan","http://arxiv.org/pdf/1702.01251v1",""
"17","1702.04855v1","Open Science, Public Engagement and the University","  Contemporary debates on ""open science"" mostly focus on the pub- lic
accessibility of the products of scientific and academic work. In contrast,
this paper presents arguments for ""opening"" the ongoing work of science. That
is, this paper is an invitation to rethink the university with an eye toward
engaging the public in the dynamic, conceptual and representational work
involved in creating scientific knowledge. To this end, we posit that public
computing spaces, a genre of open- ended, public learning environment where
visitors interact with open source computing platforms to directly access,
modify and create complex and authentic scientific work, can serve as a
possible model of ""open science"" in the university.
","Pratim Sengupta|Marie-Claire Shanahan","http://arxiv.org/pdf/1702.04855v1",""
"18","1704.02319v2","BEAT: An Open-Source Web-Based Open-Science Platform","  With the increased interest in computational sciences, machine learning (ML),
pattern recognition (PR) and big data, governmental agencies, academia and
manufacturers are overwhelmed by the constant influx of new algorithms and
techniques promising improved performance, generalization and robustness.
Sadly, result reproducibility is often an overlooked feature accompanying
original research publications, competitions and benchmark evaluations. The
main reasons behind such a gap arise from natural complications in research and
development in this area: the distribution of data may be a sensitive issue;
software frameworks are difficult to install and maintain; Test protocols may
involve a potentially large set of intricate steps which are difficult to
handle. Given the raising complexity of research challenges and the constant
increase in data volume, the conditions for achieving reproducible research in
the domain are also increasingly difficult to meet.
  To bridge this gap, we built an open platform for research in computational
sciences related to pattern recognition and machine learning, to help on the
development, reproducibility and certification of results obtained in the
field. By making use of such a system, academic, governmental or industrial
organizations enable users to easily and socially develop processing
toolchains, re-use data, algorithms, workflows and compare results from
distinct algorithms and/or parameterizations with minimal effort. This article
presents such a platform and discusses some of its key features, uses and
limitations. We overview a currently operational prototype and provide design
insights.
","André Anjos|Laurent El-Shafey|Sébastien Marcel","http://arxiv.org/pdf/1704.02319v2",""
"19","1709.08767v1","BOSS-LDG: A Novel Computational Framework that Brings Together Blue
  Waters, Open Science Grid, Shifter and the LIGO Data Grid to Accelerate
  Gravitational Wave Discovery","  We present a novel computational framework that connects Blue Waters, the
NSF-supported, leadership-class supercomputer operated by NCSA, to the Laser
Interferometer Gravitational-Wave Observatory (LIGO) Data Grid via Open Science
Grid technology. To enable this computational infrastructure, we configured,
for the first time, a LIGO Data Grid Tier-1 Center that can submit
heterogeneous LIGO workflows using Open Science Grid facilities. In order to
enable a seamless connection between the LIGO Data Grid and Blue Waters via
Open Science Grid, we utilize Shifter to containerize LIGO's workflow software.
This work represents the first time Open Science Grid, Shifter, and Blue Waters
are unified to tackle a scientific problem and, in particular, it is the first
time a framework of this nature is used in the context of large scale
gravitational wave data analysis. This new framework has been used in the last
several weeks of LIGO's second discovery campaign to run the most
computationally demanding gravitational wave search workflows on Blue Waters,
and accelerate discovery in the emergent field of gravitational wave
astrophysics. We discuss the implications of this novel framework for a wider
ecosystem of Higher Performance Computing users.
","E. A. Huerta|Roland Haas|Edgar Fajardo|Daniel S. Katz|Stuart Anderson|Peter Couvares|Josh Willis|Timothy Bouvet|Jeremy Enos|William T. C. Kramer|Hon Wai Leong|David Wheeler","http://arxiv.org/pdf/1709.08767v1","http://dx.doi.org/10.1109/eScience.2017.47"
"20","1710.05246v3","Shared High Value Research Resources: The CamCAN Human Lifespan
  Neuroimaging Dataset Processed on the Open Science Grid","  The CamCAN Lifespan Neuroimaging Dataset, Cambridge (UK) Centre for Ageing
and Neuroscience, was acquired and processed beginning in December, 2016. The
referee consensus solver deployed to the Open Science Grid was used for this
task. The dataset includes demographic and screening measures, a
high-resolution MRI scan of the brain, and whole-head magnetoencephalographic
(MEG) recordings during eyes closed rest (560 sec), a simple task (540 sec),
and passive listening/viewing (140 sec). The data were collected from 619
neurologically normal individuals, ages 18-87. The processed results from the
resting recordings are completed and available online. These constitute 1.7
TBytes of data including the location within the brain (1 mm resolution), time
stamp (1 msec resolution), and 80 msec time course for each of 3.7 billion
validated neuroelectric events, i.e. mean 6.1 million events for each of the
619 participants.
  The referee consensus solver provides high yield (mean 11,000 neuroelectric
currents/sec; standard deviation (sd): 3500/sec) high confidence (p < 10-12 for
each identified current) measures of the neuroelectric currents whose magnetic
fields are detected in the MEG recordings. We describe the solver, the
implementation of the solver deployed on the Open Science Grid, the workflow
management system, the opportunistic use of high performance computing (HPC)
resources to add computing capacity to the Open Science Grid reserved for this
project, and our initial findings from the recently completed processing of the
resting recordings. This required 14 million core hours, i.e. 40 core hours per
second of data.
","Don Krieger|Paul Shepard|Ben Zusman|Anirban Jana|David O. Okonkwo","http://arxiv.org/pdf/1710.05246v3",""
"21","1801.02634v2","The Astropy Project: Building an inclusive, open-science project and
  status of the v2.0 core package","  The Astropy project supports and fosters the development of open-source and
openly-developed Python packages that provide commonly-needed functionality to
the astronomical community. A key element of the Astropy project is the core
package Astropy, which serves as the foundation for more specialized projects
and packages. In this article, we provide an overview of the organization of
the Astropy project and summarize key features in the core package as of the
recent major release, version 2.0. We then describe the project infrastructure
designed to facilitate and support development for a broader ecosystem of
inter-operable packages. We conclude with a future outlook of planned new
features and directions for the broader Astropy project.
"," The Astropy Collaboration|A. M. Price-Whelan|B. M. Sipőcz|H. M. Günther|P. L. Lim|S. M. Crawford|S. Conseil|D. L. Shupe|M. W. Craig|N. Dencheva|A. Ginsburg|J. T. VanderPlas|L. D. Bradley|D. Pérez-Suárez|M. de Val-Borro|T. L. Aldcroft|K. L. Cruz|T. P. Robitaille|E. J. Tollerud|C. Ardelean|T. Babej|M. Bachetti|A. V. Bakanov|S. P. Bamford|G. Barentsen|P. Barmby|A. Baumbach|K. L. Berry|F. Biscani|M. Boquien|K. A. Bostroem|L. G. Bouma|G. B. Brammer|E. M. Bray|H. Breytenbach|H. Buddelmeijer|D. J. Burke|G. Calderone|J. L. Cano Rodríguez|M. Cara|J. V. M. Cardoso|S. Cheedella|Y. Copin|D. Crichton|D. DÁvella|C. Deil|É. Depagne|J. P. Dietrich|A. Donath|M. Droettboom|N. Earl|T. Erben|S. Fabbro|L. A. Ferreira|T. Finethy|R. T. Fox|L. H. Garrison|S. L. J. Gibbons|D. A. Goldstein|R. Gommers|J. P. Greco|P. Greenfield|A. M. Groener|F. Grollier|A. Hagen|P. Hirst|D. Homeier|A. J. Horton|G. Hosseinzadeh|L. Hu|J. S. Hunkeler|Ž. Ivezić|A. Jain|T. Jenness|G. Kanarek|S. Kendrew|N. S. Kern|W. E. Kerzendorf|A. Khvalko|J. King|D. Kirkby|A. M. Kulkarni|A. Kumar|A. Lee|D. Lenz|S. P. Littlefair|Z. Ma|D. M. Macleod|M. Mastropietro|C. McCully|S. Montagnac|B. M. Morris|M. Mueller|S. J. Mumford|D. Muna|N. A. Murphy|S. Nelson|G. H. Nguyen|J. P. Ninan|M. Nöthe|S. Ogaz|S. Oh|J. K. Parejko|N. Parley|S. Pascual|R. Patil|A. A. Patil|A. L. Plunkett|J. X. Prochaska|T. Rastogi|V. Reddy Janga|J. Sabater|P. Sakurikar|M. Seifert|L. E. Sherbert|H. Sherwood-Taylor|A. Y. Shih|J. Sick|M. T. Silbiger|S. Singanamalla|L. P. Singer|P. H. Sladen|K. A. Sooley|S. Sornarajah|O. Streicher|P. Teuben|S. W. Thomas|G. R. Tremblay|J. E. H. Turner|V. Terrón|M. H. van Kerkwijk|A. de la Vega|L. L. Watkins|B. A. Weaver|J. B. Whitmore|J. Woillez|V. Zabalza","http://arxiv.org/pdf/1801.02634v2","http://dx.doi.org/10.3847/1538-3881/aabc4f"
"22","1802.04068v1","Towards an Open Science Platform for the Evaluation of Data Fusion","  Combining the results of different search engines in order to improve upon
their performance has been the subject of many research papers. This has become
known as the ""Data Fusion"" task, and has great promise in dealing with the vast
quantity of unstructured textual data that is a feature of many Big Data
scenarios. However, no universally-accepted evaluation methodology has emerged
in the community. This makes it difficult to make meaningful comparisons
between the various proposed techniques from reading the literature alone.
Variations in the datasets, metrics, and baseline results have all contributed
to this difficulty.
  This paper argues that a more unified approach is required, and that a
centralised software platform should be developed to aid researchers in making
comparisons between their algorithms and others. The desirable qualities of
such a system have been identified and proposed, and an early prototype has
been developed. Re-implementing algorithms published by other researchers is a
great burden on those proposing new techniques. The prototype system has the
potential to greatly reduce this burden and thus encourage more comparable
results being generated and published more easily.
","Weinan Huang|Junyi Chen|Lei Meng|David Lillis","http://arxiv.org/pdf/1802.04068v1",""
"23","1803.10281v2","Authentication schemes for Smart Mobile Devices: Threat Models,
  Countermeasures, and Open Research Issues","  This paper presents a comprehensive investigation of authentication schemes
for smart mobile devices. We start by providing an overview of existing survey
articles published in the recent years that deal with security for mobile
devices. Then, we describe and give a classification of threat models in smart
mobile devices in five categories, including, identity-based attacks,
eavesdropping-based attacks, combined eavesdropping and identity-based attacks,
manipulation-based attacks, and service-based attacks. We also provide a
classification of countermeasures into four types of categories, including,
cryptographic functions, personal identification, classification algorithms,
and channel characteristics. According to these, we categorize authentication
schemes for smart mobile devices in four categories, namely, 1) biometric-based
authentication schemes, 2) channel-based authentication schemes, 3)
factor-based authentication schemes, and 4) ID-based authentication schemes. In
addition, we provide a taxonomy and comparison of authentication schemes for
smart mobile devices in the form of tables. Finally, we identify open
challenges and future research directions.
","Mohamed Amine Ferrag|Leandros Maglaras|Abdelouahid Derhab|Helge Janicke","http://arxiv.org/pdf/1803.10281v2",""
"24","1804.05492v1","Using the Jupyter Notebook as a Tool for Open Science: An Empirical
  Study","  As scientific work becomes more computational and data intensive, research
processes and results become more difficult to interpret and reproduce. In this
poster, we show how the Jupyter notebook, a tool originally designed as a free
version of Mathematica notebooks, has evolved to become a robust tool for
scientists to share code, associated computation, and documentation.
","Bernadette M. Boscoe|Irene V. Pasquetto|Milena S. Golshan|Christine L. Borgman","http://arxiv.org/pdf/1804.05492v1",""
"25","1807.06639v1","Discovering Job Preemptions in the Open Science Grid","  The Open Science Grid(OSG) is a world-wide computing system which facilitates
distributed computing for scientific research. It can distribute a
computationally intensive job to geo-distributed clusters and process job's
tasks in parallel. For compute clusters on the OSG, physical resources may be
shared between OSG and cluster's local user-submitted jobs, with local jobs
preempting OSG-based ones. As a result, job preemptions occur frequently in
OSG, sometimes significantly delaying job completion time.
  We have collected job data from OSG over a period of more than 80 days. We
present an analysis of the data, characterizing the preemption patterns and
different types of jobs. Based on observations, we have grouped OSG jobs into 5
categories and analyze the runtime statistics for each category. we further
choose different statistical distributions to estimate probability density
function of job runtime for different classes.
","Zhe Zhang|Brian Bockelman|Derek Weitzel|David Swanson","http://arxiv.org/pdf/1807.06639v1","http://dx.doi.org/10.1145/3219104.3229282"
"26","1808.07282v2","Empowering open science with reflexive and spatialised indicators","  Bibliometrics have become commonplace and widely used by authors and journals
to monitor, to evaluate and to identify their readership in an
ever-increasingly publishing scientific world. With this contribution, we aim
to investigate the semantic proximities and evolution of the papers published
in the online journal Cybergeo since its creation in 1996. We propose a
dedicated interactive application that compares three strategies for building
semantic networks, using keywords (self-declared themes), citations (areas of
research using the papers published in Cybergeo) and full-texts (themes derived
from the words used in writing). We interpret these networks and semantic
proximities with respect to their temporal evolution as well as to their
spatial expressions, by considering the countries studied in the papers under
inquiry (Cybergeo being a journal of geography, most articles refer to a
well-defined spatial envelope). Finally, we compare the three methods and
conclude that their complementarity can help go beyond simple statistics to
better understand the epistemological evolution of a scientific community and
the readership target of the journal.
","Juste Raimbault|Pierre-Olivier Chasset|Clémentine Cottineau|Hadrien Commenges|Denise Pumain|Christine Kosmopoulos|Arnaud Banos","http://arxiv.org/pdf/1808.07282v2",""
"27","1808.08070v1","The Open Energy Modelling Framework (oemof) - A new approach to
  facilitate open science in energy system modelling","  Energy system models have become indispensable tools for planning future
energy systems by providing insights into different development trajectories.
However, sustainable systems with high shares of renewable energy are
characterized by growing cross-sectoral interdependencies and decentralized
structures. To capture important properties of increasingly complex energy
systems, sophisticated and flexible modelling tools are needed. At the same
time, open science is becoming increasingly important in energy system
modelling. This paper presents the Open Energy Modelling Framework (oemof) as a
novel approach to energy system modelling, representation and analysis. The
framework provides a toolbox to construct comprehensive energy system models
and has been published open source under a free licence. Through collaborative
development based on open processes, the framework supports a maximum level of
participation, transparency and open science principles in energy system
modelling. Based on a generic graph-based description of energy systems, it is
well-suited to flexibly model complex cross-sectoral systems and incorporate
various modelling approaches. This makes the framework a multi-purpose
modelling environment for modelling and analyzing different systems at scales
ranging from urban to transnational.
","Simon Hilpert|Cord Kaldemeyer|Uwe Krien|Stefan Günther|Clemens Wingenbach|Guido Plessmann","http://arxiv.org/pdf/1808.08070v1","http://dx.doi.org/10.1016/j.esr.2018.07.001"
"28","1812.04298v1","Text data mining and data quality management for research information
  systems in the context of open data and open science","  In the implementation and use of research information systems (RIS) in
scientific institutions, text data mining and semantic technologies are a key
technology for the meaningful use of large amounts of data. It is not the
collection of data that is difficult, but the further processing and
integration of the data in RIS. Data is usually not uniformly formatted and
structured, such as texts and tables that cannot be linked. These include
various source systems with their different data formats such as project and
publication databases, CERIF and RCD data model, etc. Internal and external
data sources continue to develop. On the one hand, they must be constantly
synchronized and the results of the data links checked. On the other hand, the
texts must be processed in natural language and certain information extracted.
Using text data mining, the quality of the metadata is analyzed and this
identifies the entities and general keywords. So that the user is supported in
the search for interesting research information. The information age makes it
easier to store huge amounts of data and increase the number of documents on
the internet, in institutions' intranets, in newswires and blogs is
overwhelming. Search engines should help to specifically open up these sources
of information and make them usable for administrative and research purposes.
Against this backdrop, the aim of this paper is to provide an overview of text
data mining techniques and the management of successful data quality for RIS in
the context of open data and open science in scientific institutions and
libraries, as well as to provide ideas for their application. In particular,
solutions for the RIS will be presented.
","Otmane Azeroual|Gunter Saake|Mohammad Abuosba|Joachim Schöpfel","http://arxiv.org/pdf/1812.04298v1",""
"29","1812.10175v1","The iEnvironment Platform: Developing an Open Science Software Platform
  for Integrated Environmental Monitoring and Modeling of Surface Water","  This paper describes the development of iEnvironment, an open science
software platform that supports monitoring and modeling of aspects of surface
water. The platform supports science and engineering research, especially in
the context of the creation, sharing, analysis and maintenance of big and open
data. In this era of big data, iEnvironment facilitates access to open data
resources and research collaboration among science and research disciplines
supported by computer scientists and software developers.
","Paulo Alencar|Donald Cowan|Doug Mulholland","http://arxiv.org/pdf/1812.10175v1",""
"30","1901.10816v3","Open Research Knowledge Graph: Next Generation Infrastructure for
  Semantic Scholarly Knowledge","  Despite improved digital access to scholarly knowledge in recent decades,
scholarly communication remains exclusively document-based. In this form,
scholarly knowledge is hard to process automatically. In this paper, we present
the first steps towards a knowledge graph based infrastructure that acquires
scholarly knowledge in machine actionable form thus enabling new possibilities
for scholarly knowledge curation, publication and processing. The primary
contribution is to present, evaluate and discuss multi-modal scholarly
knowledge acquisition, combining crowdsourced and automated techniques. We
present the results of the first user evaluation of the infrastructure with the
participants of a recent international conference. Results suggest that users
were intrigued by the novelty of the proposed infrastructure and by the
possibilities for innovative scholarly knowledge processing it could enable.
","Mohamad Yaser Jaradeh|Allard Oelen|Kheir Eddine Farfar|Manuel Prinz|Jennifer D'Souza|Gábor Kismihók|Markus Stocker|Sören Auer","http://arxiv.org/pdf/1901.10816v3",""
