"","Scopus_ID","Title","Author","Date","DOI"
"19","SCOPUS_ID:85136804050","Industry 4.0 Implementation Challenges in the Nigerian Oil and Gas Industry: An Interpretive Structural Modeling Approach","Inuwa H.","2022-01-01","10.2118/211991-MS"
"20","SCOPUS_ID:85135955777","Committed to Trust: A Qualitative Study on Security &amp; Trust in Open Source Software Projects","Wermke D.","2022-01-01","10.1109/SP46214.2022.9833686"
"21","SCOPUS_ID:85135934727","Introducing EIDU’s Solver Platform: Facilitating Open Collaboration in AI to Help Solve the Global Learning Crisis","Friedberg A.","2022-01-01","10.1007/978-3-031-11647-6_18"
"22","SCOPUS_ID:85135842919","Metrology test artifact availability improvement","Bunday B.D.","2022-01-01","10.1117/12.2615726"
"23","SCOPUS_ID:85134077079","Co-Designing Urban Planning Engagement and Innovation: Using LEGO® to Facilitate Collaboration, Participation and Ideas","Tewdwr-jones M.","2022-01-01","10.17645/up.v7i2.4960"
"24","SCOPUS_ID:85133508423","What Makes a Good Commit Message?","Tian Y.","2022-01-01","10.1145/3510003.3510205"
"25","SCOPUS_ID:85132231446","Activation of Ontact Research Using Science &amp; Technology Knowledge Infrastructure ScienceON","Han S.","2022-01-01","10.1633/JISTaP.2022.10.S.1"
"26","SCOPUS_ID:85130709068","TMchain: A Blockchain-based Collaboration System for Teaching Materials","Chou H.","2022-01-01","10.2197/ipsjjip.30.343"
"27","SCOPUS_ID:85128754745","The four deaths of Couchsurfing and the changing ecology of the web","Mikołajewska-Zając K.","2022-01-01","10.1080/24701475.2022.2057751"
"28","SCOPUS_ID:85125942007","Open Government Maturity Models: A Global Comparison","Pirannejad A.","2022-01-01","10.1177/08944393211063107"
"29","SCOPUS_ID:85125170185","PDBe-KB: collaboratively defining the biological context of structural data","Varadi M.","2022-01-01","10.1093/nar/gkab988"
"30","SCOPUS_ID:85123454231","Participation in wiki communities: reconsidering their statistical characterization","Tenorio-Fornés Á.","2022-01-01","10.7717/PEERJ-CS.792"
"31","SCOPUS_ID:85123238081","An Open-Source Workflow for Spatiotemporal Studies with COVID-19 as an Example","Malarvizhi A.S.","2022-01-01","10.3390/ijgi11010013"
"32","SCOPUS_ID:85113664874","HUBCAP: A Novel Collaborative Approach to Model-Based Design of Cyber-Physical Systems","Larsen P.G.","2022-01-01","10.1007/978-3-030-84811-8_5"
"33","SCOPUS_ID:85068517915","Tumbling through tertiary education: an investigation of the use of Tumblr within a child development course","Pausé C.","2022-01-01","10.1080/10494820.2019.1636072"
"34","SCOPUS_ID:85119191517","Robotic endovascular surgery: current and future practice","Cruddas L.","2021-12-01","10.1053/j.semvascsurg.2021.10.002"
"35","SCOPUS_ID:85118990560","Optimization of ICT common wealth planning and sharing based on organic economic ecology and theory of knowledge value transformation ~ on case of open collaboration Framework","Chiang J.K.","2021-10-22",NA
"36","SCOPUS_ID:85116065988","An analysis of peer-reviewed publications on open educational practices (Oep) from 2007 to 2020: A bibliometric mapping analysis","Tlili A.","2021-10-01","10.3390/su131910798"
"37","SCOPUS_ID:85118215647","Proceedings of the 17th International Symposium on Open Collaboration, OpenSym 2021",NA,"2021-09-15",NA
"38","SCOPUS_ID:85118200952","Measuring wikipedia article quality in one dimension by extending ORES with ordinal regression","Teblunthuis N.","2021-09-15","10.1145/3479986.3479991"
"39","SCOPUS_ID:85107840433","Can bots help create knowledge? The effects of bot intervention in open collaboration","Kang S.","2021-09-01","10.1016/j.dss.2021.113601"
"40","SCOPUS_ID:85112539869","EndoVAscular treatment and ThRombolysis for Ischemic Stroke Patients (EVA-TRISP) registry: Basis and methodology of a pan-European prospective ischaemic stroke revascularisation treatment registry","Nordanstig A.","2021-08-09","10.1136/bmjopen-2020-042211"
"41","SCOPUS_ID:85119329113","A Federated Learning Approach for Privacy Protection in Context-Aware Recommender Systems","Ali W.","2021-07-01","10.1093/comjnl/bxab025"
"42","SCOPUS_ID:85112616556","How to make 6G a general purpose technology: Prerequisites and value creation paradigm shift","Ziegler V.","2021-06-08","10.1109/EuCNC/6GSummit51104.2021.9482431"
"43","SCOPUS_ID:85104626469","Open Collaboration, Data Quality, and COVID-19","Hampson G.","2021-05-01","10.1109/MS.2021.3056642"
"44","SCOPUS_ID:85102885256","Simple Python Module for Conversions Between DICOM Images and Radiation Therapy Structures, Masks, and Prediction Arrays","Anderson B.M.","2021-05-01","10.1016/j.prro.2021.02.003"
"45","SCOPUS_ID:85107596450","Smart Supply Chain Management: The 5W1H Open and Collaborative Framework","Correia D.M.","2021-04-23","10.1109/ICIEA52957.2021.9436817"
"46","SCOPUS_ID:85096761926","Online but not remote: Adapting field-based ecology laboratories for online learning","Richter C.F.","2021-04-01","10.1002/ece3.7008"
"47","SCOPUS_ID:85103683835","Addressing the environmental and health impacts of microplastics requires open collaboration between diverse sectors","Coffin S.","2021-03-30","10.1371/JOURNAL.PBIO.3000932"
"48","SCOPUS_ID:85111628726","Positive innovation networks","Gaggioli A.","2021-03-15","10.3233/STPC200005"
"49","SCOPUS_ID:85100740035","Thermal management challenges for HEA – FUTPRINT 50","Affonso W.","2021-01-22","10.1088/1757-899X/1024/1/012075"
"50","SCOPUS_ID:85100700506","Foundations towards the future: FUTPRINT50 TLARs an open approach","Eisenhut D.","2021-01-22","10.1088/1757-899X/1024/1/012069"
"51","SCOPUS_ID:85129068402","Research Anthology on Usage and Development of Open Source Software",NA,"2021-01-01","10.4018/978-1-7998-9158-1"
"52","SCOPUS_ID:85127852047","Distributed Deep Learning In Open Collaborations","Diskin M.","2021-01-01",NA
"53","SCOPUS_ID:85117130607","An open innovation B2B web platform design: Application of the QFD approach for the definition of its primary functions","Marinello S.","2021-01-01","10.1504/IJPD.2021.118045"
"54","SCOPUS_ID:85112324506","From Isolation to Coordination: How Can Telemedicine Help Combat the COVID-19 Outbreak?","Zhai Y.","2021-01-01","10.1007/978-981-16-3631-8_12"
"55","SCOPUS_ID:85112142452","A Blockchain-Based Collaboration Framework for Teaching Material Creation","Chou H.","2021-01-01","10.1007/978-3-030-77889-7_1"
"56","SCOPUS_ID:85111484766","Expanded abstract Unpaid nature of the position of trustee in a preferential tax regime. Critical analysis and reform proposal","Ronda E.P.","2021-01-01","10.7203/CIRIEC-E.102.16560"
"57","SCOPUS_ID:85100459315","Positive Innovation Networks","Gaggioli A.","2021-01-01","10.3233/STPC200005"
"58","SCOPUS_ID:85099928563","Advocating for your patients and families: Simulation as an educational tool for home caregivers of children with chronic conditions","Diaz M.C.G.","2021-01-01","10.3928/19382359-20201215-01"
"59","SCOPUS_ID:85079044260","Re-arranging public-private partnerships: The case of South Street Seaport New York","Guinand S.","2021-01-01","10.1080/07352166.2019.1697182"
"60","SCOPUS_ID:85102030411","A Blockchain-based Collaboration Framework for Educational Material Sharing","Chou H.C.","2020-12-01","10.1109/R10-HTC49770.2020.9356955"
"61","SCOPUS_ID:85097280754","Citizen innovation: Exploring the responsibility governance and cooperative mode of a “post-schumpeter” paradigm","Chen J.","2020-12-01","10.3390/joitmc6040172"
"62","SCOPUS_ID:85097173325","No or low emissions from construction logistics - Just a dream or future reality?","Venås C.","2020-11-20","10.1088/1755-1315/588/4/042003"
"63","SCOPUS_ID:85084812323","Repurposing current therapeutics for treating COVID-19: A vital role of prescription records data mining","Gurwitz D.","2020-11-01","10.1002/ddr.21689"
"64","SCOPUS_ID:85123040837","Proceedings of the 16th International Symposium on Open Collaboration, OpenSym 2020",NA,"2020-08-25",NA
"65","SCOPUS_ID:85094951017","An overview of decentralized autonomous organizations on the blockchain","El Faqir Y.","2020-08-25","10.1145/3412569.3412579"
"66","SCOPUS_ID:85090015041","COVID-19, Companion Animals, Comparative Medicine, and One Health","Mobasheri A.","2020-08-14","10.3389/fvets.2020.00522"
"67","SCOPUS_ID:85094319607","How do companies collaborate in open source ecosystems an empirical study of openstack","Zhang Y.","2020-06-27","10.1145/3377811.3380376"
"68","SCOPUS_ID:85084134368","Open collaboration between universities and enterprises: a case study on GitHub","Cheng X.","2020-06-22","10.1108/INTR-01-2019-0013"
"69","SCOPUS_ID:85092009740","Pump up the lung and be stronger against COVID-19","Prencipe L.","2020-06-01","10.23736/S0026-4954.20.01874-X"
"70","SCOPUS_ID:85091534372","Content growth and attention contagion in information networks: Addressing information poverty on Wikipedia","Zhu K.","2020-06-01","10.1287/ISRE.2019.0899"
"71","SCOPUS_ID:85078613252","Optimizing Discovery: Developing a Holistic Approach to Managing a Discovery Service","Sisler S.W.","2020-06-01","10.1080/0361526X.2020.1703162"
"72","SCOPUS_ID:85104491162","Qualification of safety biomarkers for application to early drug development","Mattes W.B.","2020-04-28","10.1002/9781119187547.ch11"
"73","SCOPUS_ID:85086577260","Detecting Undisclosed Paid Editing in Wikipedia","Joshi N.","2020-04-20","10.1145/3366423.3380055"
"74","SCOPUS_ID:85076908605","The role of openness in open collaboration: A focus on open-source software development projects","Lee S.","2020-04-01","10.4218/etrij.2018-0536"
"75","SCOPUS_ID:85089562745","Machine learning applications in endocrinology and metabolism research: An overview","Hong N.","2020-03-01","10.3803/EnM.2020.35.1.71"
"76","SCOPUS_ID:85082297317","Proton acceleration via the TNSA mechanism using a smoothed laser focus","Afshari M.","2020-03-01","10.1063/1.5117236"
"77","SCOPUS_ID:85114604926","EPS and Open Science: An update","Rossel C.","2020-01-01","10.1051/epn/2020103"
"78","SCOPUS_ID:85108159516","Mining and predicting temporal patterns in the quality evolution of Wikipedia articles","Zhang H.","2020-01-01",NA
"79","SCOPUS_ID:85102839912","Data Journalism in the Spanish Caribbean Digital Media*","Trinidad R.A.","2020-01-01","10.5565/rev/analisi.3236"
"80","SCOPUS_ID:85098221752","“#Government” - Understanding Dissemination, Transparency, Participation, Collaboration and Engagement on Twitter for Citizens","Grover P.","2020-01-01","10.1007/978-3-030-64849-7_33"
"81","SCOPUS_ID:85097541297","Construction of Dunhuang Cultural Heritage Knowledge Base: Take Cave 220 as an Example","Sun X.","2020-01-01","10.1007/978-3-030-64452-9_9"
"82","SCOPUS_ID:85096990782","The Gender Bias Tug-of-War in a Co-creation Community: Core-Periphery Tension on Wikipedia","Young A.G.","2020-01-01","10.1080/07421222.2020.1831773"
"83","SCOPUS_ID:85092898278","TRIZ-Based Approach for Improving the Adoption of Open Innovation 2.0","Otavă E.","2020-01-01","10.1007/978-3-030-61295-5_34"
"84","SCOPUS_ID:85091772513","A cloud-based collaboration platform for model-based design of cyber-physical systems","Larsen P.G.","2020-01-01",NA
"85","SCOPUS_ID:85090045502","COVID-19 challenge with regard to medical schools social responsibility: New professional and human perspectives","Abreu-Hernández L.F.","2020-01-01","10.24875/GMM.20000306"
"86","SCOPUS_ID:85088541951","12th International Conference on Social Computing and Social Media, SCSM 2020, held as part of the 22nd International Conference on Human-Computer Interaction, HCII 2020",NA,"2020-01-01",NA
"87","SCOPUS_ID:85088498186","Understanding open collaboration of wikipedia good articles","Chou H.","2020-01-01","10.1007/978-3-030-49576-3_3"
"88","SCOPUS_ID:85084086810","Open innovation platform using cloud-based applications and collaborative space: a case study of solubility prediction model development","Esaki T.","2020-01-01","10.1273/cbij.20.5"
"89","SCOPUS_ID:85077437138","Cracks in open collaboration in universities","Chien A.","2020-01-01","10.1145/3374766"
"90","SCOPUS_ID:85077774428","A sustainable ubiquitous engagement platform for open government Implementation.","Goddy-Worlu R.N.","2019-12-18","10.1088/1742-6596/1378/4/042037"
"91","SCOPUS_ID:85093687742","Frontline knowledge networks in open collaboration models for service innovations","Ozkok O.","2019-12-01","10.1007/s13162-018-00133-5"
"92","SCOPUS_ID:85092314866","Enthusiasm creates surprise and excitement - With the spirit of DOCOMO, 5G will build a richer future","Maruyama S.","2019-12-01",NA
"93","SCOPUS_ID:85091103406","Enthusiasm Creates Surprise and Excitement—With the Spirit of DOCOMO, 5G Will Build a Richer Future","Maruyama S.","2019-12-01",NA
"94","SCOPUS_ID:85078832486","Open collaboration as marketing transformation strategy in online markets: The case of the fashion sector","Lorenzo-Romero C.","2019-12-01","10.3390/RESOURCES8040167"
"95","SCOPUS_ID:85063158204","Detecting pages to protect in Wikipedia across multiple languages","Spezzano F.","2019-12-01","10.1007/s13278-019-0555-0"
"96","SCOPUS_ID:85074156490","Headgroup Structure and Cation Binding in Phosphatidylserine Lipid Bilayers","Antila H.","2019-10-31","10.1021/acs.jpcb.9b06091"
"97","SCOPUS_ID:85074968977","Geographic Information System Design for Alumni of Information System Department, Faculty of Computer Science, Sriwijaya University","Ibrahim A.","2019-10-23","10.1088/1742-6596/1338/1/012058"
"98","SCOPUS_ID:85074379683","Fostering open collaboration in drug development for paediatric brain tumours","Wong J.F.","2019-09-24","10.1042/BST20190315"
"99","SCOPUS_ID:85071530884","Sustaining open collaboration in universities","Chien A.","2019-09-01","10.1145/3354460"
"100","SCOPUS_ID:85102099714","Open Governance: A New Paradigm for Understanding Urban Governance in an Information Age","Meijer A.J.","2019-08-28","10.3389/frsc.2019.00003"
"101","SCOPUS_ID:85084014212","Proceedings of the 15th International Symposium on Open Collaboration, OpenSym 2019",NA,"2019-08-20",NA
"102","SCOPUS_ID:85073149104","Visualization of the evolution of collaboration and communication networks in wikis","Faqir Y.E.","2019-08-20","10.1145/3306446.3340834"
"103","SCOPUS_ID:85067595771","Privacy, anonymity, and perceived risk in open collaboration: A study of service providers","McDonald N.","2019-05-02","10.1145/3290605.3300901"
"104","SCOPUS_ID:85071427540","Open collaborative data-using oss principles to share data in SW engineering","Runeson P.","2019-05-01","10.1109/ICSE-NIER.2019.00015"
"105","SCOPUS_ID:85064544247","MEMS research is better together","Totsu K.","2019-04-01","10.1038/s41928-019-0236-z"
"106","SCOPUS_ID:85063955519","The effect of network position on the efficiency of open collaboration: A study of Wikipedia featured article edits","Khan N.","2019-03-01","10.14329/apjis.2019.29.1.50"
"107","SCOPUS_ID:85061267244","Regulatory strategies for rare diseases under current global regulatory statutes: A discussion with stakeholders","Mulberg A.E.","2019-02-08","10.1186/s13023-019-1017-5"
"108","SCOPUS_ID:85061510173","Future proofing IoT embedded platforms for cryptographic primitives support","Plaga S.","2019-01-04","10.1109/ICSensT.2018.8603610"
"109","SCOPUS_ID:85138867953","Open Collaboration","Smith D.A.","2019-01-01","10.1016/B978-0-08-102258-0.00005-7"
"110","SCOPUS_ID:85120388692","Building DH training events","Cummings J.","2019-01-01","10.4324/9780429353048-18"
"111","SCOPUS_ID:85084012139","The application of holistic workflows for sour reservoir management on the X field","Kuku O.","2019-01-01","10.2118/198849-MS"
"112","SCOPUS_ID:85079632791","Developing building exergy methods through collaboration in the open-data era","Bonetti V.","2019-01-01",NA
"113","SCOPUS_ID:85078787380","Entrepreneurship as an Innovation Driver in an Industrial Ecosystem","Hofmann M.","2019-01-01","10.1007/978-3-030-20138-8_5"
"114","SCOPUS_ID:85078025450","An outlook of a future smart city in taiwan from post-internet of things to artificial intelligence internet of things","Wu Y.C.","2019-01-01","10.1016/B978-0-12-816639-0.00015-6"
"115","SCOPUS_ID:85072103439","Inner source definition, benefits, and challenges","Capraro M.","2019-01-01","10.18420/se2019-18"
"116","SCOPUS_ID:85068943224","Crowdsourcing in medical research: Concepts and applications","Tucker J.D.","2019-01-01","10.7717/peerj.6762"
"117","SCOPUS_ID:85062656320","Exploring GitHub data for geospatial government research: Understanding the limitations of inadequate quality control","Mistry J.","2019-01-01",NA
"118","SCOPUS_ID:85059623097","Open collaboration in an age of distrust","Chien A.A.","2019-01-01","10.1145/3162391"
"119","SCOPUS_ID:85051562327","Newcomers’ Barriers.. Is That All? An Analysis of Mentors’ and Newcomers’ Barriers in OSS Projects","Balali S.","2018-12-01","10.1007/s10606-018-9310-8"
"120","SCOPUS_ID:85043369621","On the challenges of open-sourcing proprietary software projects","Pinto G.","2018-12-01","10.1007/s10664-018-9609-6"
"121","SCOPUS_ID:85066415610","‘Welcome’ changes? Descriptive and injunctive norms in a Wikipedia sub-community","Morgan J.","2018-11-01","10.1145/3274321"
"122","SCOPUS_ID:85057106110","Artifact evaluation: FAD or real news?","Childers B.","2018-10-24","10.1109/ICDE.2018.00204"
"123","SCOPUS_ID:85056724661","A social coding based refinement strategy for data on the Web","Dos Santos H.D.A.","2018-10-16","10.1145/3243082.3267449"
"124","SCOPUS_ID:85056697753","Facilitation of Smart City and Community Technology Convergence","Burns M.","2018-10-10","10.1109/SCOPE-GCTC.2018.00013"
"125","SCOPUS_ID:85056465759","Time to discover and fix software vulnerabilities in open source software projects: Notes on measurement and data availability","Muegge S.","2018-10-04","10.23919/PICMET.2018.8481833"
"126","SCOPUS_ID:85055782385","An ""agile"" approach to develop a crowdsourcing platform: The case of Cre@tive.biz","Bagiu N.","2018-09-20","10.1088/1757-899X/400/6/062003"
"127","SCOPUS_ID:85056743721","How Much are Digital Platforms Based on Open Collaboration? :An analysis of technological and knowledge practices and their implications for the platform governance of a sample of 100 cases of collaborative digital platforms in Barcelona","Morell M.F.","2018-08-22","10.1145/3233391.3233970"
"128","SCOPUS_ID:85056721202","Proceedings of the 14th International Symposium on Open Collaboration, OpenSym 2018",NA,"2018-08-22",NA
"129","SCOPUS_ID:85056718327","Evaluating the impact of the Wikipedia Teahouse on newcomer socialization and retention","Morgan J.","2018-08-22","10.1145/3233391.3233544"
"130","SCOPUS_ID:85054586684","The requirement elicitation process of designing a collaborative environment - The CRE@TIVE.BIZ case","Alexa L.","2018-07-31","10.1051/matecconf/201818404010"
"131","SCOPUS_ID:85051187978","How to train a data scientist for the global south?","Nygren E.","2018-07-20",NA
"132","SCOPUS_ID:85065966622","The birth of an Internet of Things ecosystem","Nesse P.J.","2018-07-02","10.1109/IS.2018.8710591"
"133","SCOPUS_ID:85043452501","Unpacking open innovation neighborhoods: le milieu of the lean smart city","Dezi L.","2018-06-04","10.1108/MD-04-2017-0407"
"134","SCOPUS_ID:85049483069","The patron game: The individual provision of a public good","Filippin A.","2018-06-01","10.3390/g9020035"
"135","SCOPUS_ID:85047333908","The Next Step: Acquisitions and Open Collaboration Platforms [Connected Vehicles]","Uhlemann E.","2018-06-01","10.1109/MVT.2018.2813441"
"136","SCOPUS_ID:85051658269","The patch-flow method for measuring inner source collaboration","Capraro M.","2018-05-28","10.1145/3196398.3196417"
"137","SCOPUS_ID:85040865092","The role of the clinician in the multi-omics era: are you ready?","van Karnebeek C.D.M.","2018-05-01","10.1007/s10545-017-0128-1"
"138","SCOPUS_ID:85046960306","Revisiting ""The rise and decline"" in a population of peer production projects","TeBlunthuis N.","2018-04-20","10.1145/3173574.3173929"
"139","SCOPUS_ID:85040971140","Beyond Performance Management: A Networked Production Model of Public Service Delivery","Negoita M.","2018-04-03","10.1080/15309576.2017.1408473"
"140","SCOPUS_ID:85041048694","How to manage crowdsourcing platforms effectively?","Blohm I.","2018-02-01","10.1177/0008125617738255"
"141","SCOPUS_ID:85045283527","Research Plan and Achievements Prospects for the Analysis and Discovery Technology of Vulnerabilities in Software and System","Rao Z.","2018-01-20","10.15961/j.jsuese.201701043"
"142","SCOPUS_ID:85040555826","Gearing up to handle the mosaic nature of life in the quest for orthologs","Forslund K.","2018-01-15","10.1093/bioinformatics/btx542"
"143","SCOPUS_ID:85054794347","Information fortification: An online citation behavior","Forte A.","2018-01-07","10.1145/3148330.3148347"
"144","SCOPUS_ID:85126495723","The Effects of Programming Style on Open Source Collaboration","Wang Z.","2018-01-01",NA
"145","SCOPUS_ID:85084944468","Newcomers' Barriers. . . Is That All? An Analysis of Mentors' and Newcomers' Barriers in OSS Projects","Balali S.","2018-01-01",NA
"146","SCOPUS_ID:85070923936","Harnessing open source big data technology to transform structural health monitoring from data logging into decision support information","Scullion A.","2018-01-01",NA
"147","SCOPUS_ID:85062532271","Theorizing human and bot co-production effects on information quality","Young A.G.","2018-01-01",NA
"148","SCOPUS_ID:85055681614","Open data science","Lahti L.","2018-01-01","10.1007/978-3-030-01768-2_3"
"149","SCOPUS_ID:85053148960","Relations between actions performed by users and their engagement","Ana A.P.","2018-01-01","10.1007/978-3-319-99504-5_17"
"150","SCOPUS_ID:85053119562","User engagement in an open collaboration community after the insertion of a game design element: An online field experiment","Bertholdo A.P.O.","2018-01-01",NA
"151","SCOPUS_ID:85050547639","DeepStar technology advancement related to floating systems and operations impact","Gomes J.","2018-01-01","10.4043/28754-ms"
"152","SCOPUS_ID:85049940596","Design practices and the SAwD tool: Towards the opendesign concept","da Silva J.","2018-01-01","10.1007/978-3-319-94541-5_21"
"153","SCOPUS_ID:85048685195","Public homeplaces: Collaboration and care in oral history project design","Sullivan S.","2018-01-01","10.4324/9781351123822"
"154","SCOPUS_ID:85046107585","Accelerating MEMS development by open collaboration at hands-on-access fab, Tohoku University","Totsu K.","2018-01-01","10.18494/SAM.2018.1804"
"155","SCOPUS_ID:85046092756","Faster and more cost-effective way to success in MEMS R&amp;D by open collaboration in Tohoku University","Tanaka S.","2018-01-01","10.18494/SAM.2018.1914"
"156","SCOPUS_ID:85049345755","How does contributors involvement influence open source systems","Alfayez R.","2017-12-21","10.1109/STC.2017.8234462"
"157","SCOPUS_ID:85038944521","Mixed Method Study to Investigate Models of Australian Integrative Oncology","Lim E.J.","2017-12-01","10.1089/acm.2016.0378"
"158","SCOPUS_ID:85033385281","Crowdsourcing: a new tool for policy-making?","Taeihagh A.","2017-12-01","10.1007/s11077-017-9303-3"
"159","SCOPUS_ID:85040199580","SIGGRAPH Asia 2017 Symposium on Education, SA 2017",NA,"2017-11-27",NA
"160","SCOPUS_ID:85040173005","Campus Asia Korea-China-Japan student open collaboration project: Animation Co-work and VR Cubic workshop","Park S.","2017-11-27","10.1145/3134368.3139210"
"161","SCOPUS_ID:85054402793","To share, or not to share? Community-level collaboration in open innovation contests","Tausczik Y.","2017-11-01","10.1145/3134735"
"162","SCOPUS_ID:85019964021","Governance strategies for open collaboration: Focusing on resource allocation in open source software development organizations","Lee S.","2017-10-01","10.1016/j.ijinfomgt.2017.05.006"
"163","SCOPUS_ID:85029722181","Proceedings of the 13th International Symposium on Open Collaboration Companion, OpenSym 2017",NA,"2017-08-23",NA
"164","SCOPUS_ID:85029716268","The 13th international symposium on open collaboration","Morgan L.","2017-08-23",NA
"165","SCOPUS_ID:85029700519","Proceedings of the 13th International Symposium on Open Collaboration, OpenSym 2017",NA,"2017-08-23",NA
"166","SCOPUS_ID:85029697626","SMW based VRE for addressing multi-layered data analysis - The use case of classroom interaction interpretation","Veja C.","2017-08-23","10.1145/3125433.3125457"
"167","SCOPUS_ID:85029684610","Understanding organization and open source community relations through the attraction-selection-attrition model","Link G.J.P.","2017-08-23","10.1145/3125433.3125472"
"168","SCOPUS_ID:85026627556","Self-consistent formation of a 0.5 cyclotron frequency gap in magnetospheric whistler mode waves","Ratcliffe H.","2017-08-01","10.1002/2017JA024399"
"169","SCOPUS_ID:85024363694","Afraid of scooping – Case study on researcher strategies against fear of scooping in the context of open science","Laine H.","2017-06-15","10.5334/dsj-2017-029"
"170","SCOPUS_ID:85025110823","Crowdsourcing, Sharing Economies and Development","Taeihagh A.","2017-06-01","10.1177/0169796X17710072"
"171","SCOPUS_ID:84990960946","Diversity of editors and teams versus quality of cooperative work: experiments on wikipedia","Sydow M.","2017-06-01","10.1007/s10844-016-0428-1"
"172","SCOPUS_ID:85020192882","Introduction of the Asian Language Treebank","Riza H.","2017-05-03","10.1109/ICSDA.2016.7918974"
"173","SCOPUS_ID:85039910937","A national comparative study of the effects of webtoon contents and cooperative characteristics on intention to use in open collaboration platform","Kang W.","2017-05-01",NA
"174","SCOPUS_ID:85016079378","Advancing the OCDX: Building social computing infrastructure","Hemphill L.","2017-02-25","10.1145/3022198.3022661"
"175","SCOPUS_ID:85014783002","Privacy, anonymity, and perceived risk in open collaboration: A study of tor users and wikipedians","Forte A.","2017-02-25","10.1145/2998181.2998273"
"176","SCOPUS_ID:85014738062","Characteristics of collaboration in the emerging practice of open data analysis","Choi J.","2017-02-25","10.1145/2998181.2998265"
"177","SCOPUS_ID:85011881622","Towards a Conceptualization of Data and Information Quality in Social Information Systems","Tilly R.","2017-02-01","10.1007/s12599-016-0459-8"
"178","SCOPUS_ID:85122149304","Clinical and translational science award T32/TL1 training programs: Program goals and mentorship practices","Sancheznieto F.","2022-12-27","10.1017/cts.2021.884"
"179","SCOPUS_ID:85140637257","The impact of gender diversity on scientific research teams: a need to broaden and accelerate future research","Love H.B.","2022-12-01","10.1057/s41599-022-01389-w"
"180","SCOPUS_ID:85135463425","Science facilitation: navigating the intersection of intellectual and interpersonal expertise in scientific collaboration","Cravens A.E.","2022-12-01","10.1057/s41599-022-01217-1"
"181","SCOPUS_ID:85128853653","Integrate the integrators! A call for establishing academic careers for integration experts","Hoffmann S.","2022-12-01","10.1057/s41599-022-01138-z"
"182","SCOPUS_ID:85117310319","Using bibliometrics to evaluate outcomes and influence of translational biomedical research centers","Bragg K.M.","2022-10-07","10.1017/cts.2021.863"
